customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,phone_service,avg_monthly_gb_used,num_support_tickets,avg_monthly_minutes,satisfaction_score,payment_method,num_additional_services,last_interaction_date,churned,billing_complaint_count,competitor_offer_received,network_outage_hours,last_plan_change_days,charge_per_tenure,support_rate,tenure_x_charges,satisfaction_x_tickets,is_new_customer,is_high_spender,low_satisfaction,charges_to_total_ratio,gb_per_charge,minutes_per_charge
TC-002946,24.78462915,Female,2.476210499,Two year,30.42,8.06,DSL,No,8.86,0,160.9,7.0,Mailed check,3,17/06/2024,0,2,0,3.8,296.0,12.284900662639506,0.0,75.32632337958,0.0,1,0,0,3.774193548387097,0.2912557527942143,5.289283366206443
TC-002068,39.98581257,Male,15.193228005,Month-to-month,46.21,3428.4,DSL,Yes,0.46,1,212.9,6.7,Electronic check,3,19/05/2024,0,2,0,12.2,6.0,3.041486640284248,0.06581879766899476,702.07906611105,6.7,0,0,0,0.013478590596196476,0.00995455529106254,4.607227872754815
TC-003348,65.85873109,Female,6.63578249,Month-to-month,68.14,489.77,Fiber optic,Yes,8.86,4,319.3,2.8,Bank transfer,3,30/06/2024,1,5,1,16.2,42.0,10.268570451591158,0.6027925125677228,452.1622188686,11.2,0,0,1,0.13912652877881454,0.13002641620193717,4.685940710302319
TC-000531,51.57888688,Male,28.00330214,Month-to-month,90.12,2530.8,Fiber optic,No,32.38,1,109.8,3.0,Electronic check,4,15/06/2024,1,8,1,5.2,38.0,3.2181918957076254,0.03571007429768781,2523.6575888568,3.0,0,1,1,0.035609293504030345,0.3592987128273413,1.2183754993342208
TC-004302,21.51573894,Female,8.862193112,Two year,20.88,101.19,Fiber optic,No,0.58,4,299.25,6.0,Electronic check,0,13/06/2024,0,1,0,6.4,48.0,2.356075943744341,0.45135554477860945,185.04259217856,24.0,0,0,0,0.20634450044470798,0.027777777777777776,14.331896551724139
TC-000829,35.69719774,Male,18.84259232,Month-to-month,87.38,1639.27,Fiber optic,Yes,0.76,2,279.9,8.8,Bank transfer,5,09/06/2024,1,3,0,6.4,35.0,4.637366160454083,0.10614250767805179,1646.4657169216,17.6,0,1,0,0.05330421468092504,0.00869764248111696,3.203250171663996
TC-001205,42.73290105,Male,20.99739572,Month-to-month,15.0,338.85,DSL,No,27.74,3,300.9,4.6,Bank transfer,4,30/06/2024,1,2,1,0.2,45.0,0.7143743062246769,0.14287486124493537,314.9609358,13.799999999999999,0,0,0,0.04426737494466578,1.8493333333333333,20.06
TC-000180,82.8025375,Female,14.78160248,Month-to-month,69.23,880.21,No,No,21.7,3,504.8,6.5,Bank transfer,3,04/06/2024,1,3,1,5.4,4.0,4.683524678306733,0.20295499111541523,1023.3303396904,19.5,0,0,0,0.07865168539325842,0.31344792719919107,7.291636573739708
TC-002766,54.30516019,Female,20.37274033,One year,82.48,1746.41,Fiber optic,Yes,5.99,2,427.5,2.3,Bank transfer,1,27/06/2024,0,5,0,4.8,55.0,4.048547159782113,0.09817039669694745,1680.3436224184,4.6,0,1,1,0.04722831408432155,0.07262366634335596,5.183074684772066
TC-001778,41.44444804,Male,35.13320033,Month-to-month,15.0,513.9,No,Yes,15.59,2,140.7,5.4,Electronic check,5,25/06/2024,0,0,1,6.1,57.0,0.4269465878174384,0.05692621170899178,526.99800495,10.8,0,0,0,0.02918855808523059,1.0393333333333332,9.379999999999999
TC-004928,45.57832431,Female,25.54919634,One year,27.67,636.97,Fiber optic,Yes,34.78,2,412.5,4.4,Electronic check,0,23/06/2024,0,4,0,5.6,123.0,1.083008625076776,0.07828034875871168,706.9462627278001,8.8,0,0,0,0.043440036422437475,1.2569569931333573,14.907842428623056
TC-000492,64.19916208,Male,7.49825141,Two year,36.99,342.27,Fiber optic,No,27.63,2,195.4,5.7,Credit card,1,22/06/2024,0,2,0,6.2,11.0,4.933150140933992,0.2667288532540682,277.3603196559,11.4,0,0,0,0.10807257428346044,0.7469586374695864,5.282508786158421
TC-004654,51.35110707,Male,9.6478599,Month-to-month,102.94,1024.51,No,Yes,14.83,1,361.6,5.5,Credit card,0,25/05/2024,1,3,0,8.2,52.0,10.669723759152015,0.10364992965952999,993.150698106,5.5,0,1,0,0.10047730134405716,0.1440645035943268,3.5127258597241116
TC-000034,26.13433607,Female,32.23128006,One year,109.36,3561.35,No,No,-86.55344976,3,277.7,4.2,Credit card,3,21/06/2024,0,3,0,1.7,225.0,3.392977250559747,0.09307728375712546,3524.8127873616004,12.600000000000001,0,1,0,0.030707456442079548,-0.7914543686905633,2.5393196781272858
TC-003023,35.82860089,Male,44.23681798,Two year,73.89,3360.0,DSL,Yes,4.93,3,210.3,7.4,Credit card,1,14/05/2024,0,1,0,0.6,27.0,1.6703280971385999,0.06781681271370686,3268.6584805422,22.200000000000003,0,0,0,0.02199107142857143,0.06672080119095954,2.8461226146975234
TC-003621,21.40710823,Male,33.3251831,Month-to-month,47.04,1682.89,DSL,No,16.74,1,247.8,6.4,Bank transfer,5,13/05/2024,0,1,0,0.6,156.0,1.4115451326657529,0.030007337003948826,1567.616613024,6.4,0,0,0,0.027951916049177305,0.3558673469387755,5.267857142857143
TC-000486,20.66619436,Female,58.45001871,Two year,74.97,4516.36,No,Yes,40.41,1,457.5,6.2,Bank transfer,4,27/05/2024,0,2,0,2.0,31.0,1.282634319964275,0.017108634386611643,4381.9979026887,6.2,0,0,0,0.01659965104641791,0.539015606242497,6.1024409763905565
TC-000080,18.0,Male,5.22523151,Month-to-month,57.52,527.38,No,Yes,29.03,0,266.9,5.8,Credit card,5,11/05/2024,0,1,0,9.7,11.0,11.008124690727819,0.0,300.55531645520006,0.0,1,0,0,0.10906746558458796,0.5046940194714882,4.640125173852573
TC-001345,56.24331203,Female,39.5509442,Month-to-month,53.8,2123.3,DSL,Yes,0.06,2,199.0,6.6,Credit card,5,14/06/2024,0,1,0,2.7,276.0,1.3602709388667387,0.050567692894674304,2127.84079796,13.2,0,0,0,0.025337917392737715,0.0011152416356877324,3.6988847583643123
TC-000578,53.56297791,Female,34.34976197,Month-to-month,57.1,2037.13,Fiber optic,Yes,1.67,3,445.3,8.9,Credit card,1,17/05/2024,0,2,1,5.8,278.0,1.6623113735073138,0.0873368497464438,1961.3714084870003,26.700000000000003,0,0,0,0.028029629920525444,0.02924693520140105,7.798598949211909
TC-001176,42.22774414,Male,15.36186796,Month-to-month,20.0,328.64,Fiber optic,Yes,14.02,1,172.1,6.0,Bank transfer,1,25/04/2024,0,1,0,8.3,112.0,1.301925003656912,0.06509625018284561,307.2373592,6.0,0,0,0,0.06085686465433301,0.701,8.605
TC-001488,18.0,Female,16.05812695,Month-to-month,35.02,673.65,Fiber optic,No,29.59,0,260.2,3.5,Mailed check,2,11/06/2024,0,1,0,0.3,74.0,2.18082719790679,0.0,562.355605789,0.0,0,0,1,0.051985452386253996,0.8449457452884065,7.43003997715591
TC-000498,39.14491983,Female,1.0,Month-to-month,22.85,16.04,Fiber optic,Yes,18.85,3,428.3,6.7,Electronic check,0,23/06/2024,1,4,0,31.2,97.0,22.85,3.0,22.85,20.1,1,0,0,1.4245635910224441,0.824945295404814,18.74398249452954
TC-004103,62.26609339,Male,53.38982891,Month-to-month,73.49,3929.2,DSL,No,0.89,0,367.5,4.3,Electronic check,3,17/06/2024,1,4,1,14.1,59.0,1.3764794062907215,0.0,3923.6185265958998,0.0,0,0,0,0.01870355288608368,0.012110491223295687,5.000680364675467
TC-001145,39.40392264,Male,4.400608329,Two year,74.25,320.27,No,Yes,3.35,4,355.4,2.2,Electronic check,5,06/06/2024,0,3,1,2.9,170.0,16.872667242547504,0.9089652386557577,326.74516842825,8.8,1,0,1,0.23183563867986387,0.04511784511784512,4.786531986531986
TC-003735,53.89763532,Female,15.193228005,One year,50.35,4276.91,No,Yes,36.97,1,299.25,6.0,Bank transfer,1,19/06/2024,0,0,0,0.2,169.0,3.3139764626338866,0.06581879766899476,764.97903005175,6.0,0,0,0,0.011772518009497511,0.7342601787487586,5.943396226415095
TC-004238,36.79046567,Female,48.8631831,Month-to-month,64.86,3239.71,Fiber optic,Yes,47.61,1,364.5,6.8,Credit card,0,24/06/2024,1,3,1,18.7,23.0,1.3273797547585475,0.02046530611715306,3169.266055866,6.8,0,0,0,0.02002031045988684,0.7340425531914894,5.619796484736355
TC-003244,57.88092795,Male,17.28448548,Month-to-month,52.77,802.64,No,Yes,34.09,3,317.1,6.2,Mailed check,0,09/06/2024,0,0,0,0.2,89.0,3.0530269507333925,0.17356605746068177,912.1022987796001,18.6,0,0,0,0.06574553971892755,0.6460109910934243,6.0090960773166575
TC-001236,66.58675208,Male,4.228563463,One year,108.7,508.79,Fiber optic,No,3.35,0,97.9,6.4,Credit card,4,30/06/2024,0,1,0,0.5,194.0,25.706129505002533,0.0,459.64484842810003,0.0,1,1,0,0.21364413608758034,0.030818767249310028,0.9006439742410304
TC-004569,63.78176549,Female,6.219361166,Month-to-month,26.69,139.82,No,Yes,8.69,1,334.4,7.7,Bank transfer,1,25/06/2024,0,1,0,1.4,20.0,4.2914375427992315,0.1607882181640776,165.99474952054,7.7,0,0,0,0.19088828493777715,0.3255901086549269,12.529037092544023
TC-004268,18.0,Male,59.08706435,Month-to-month,67.34,3972.81,DSL,No,13.46,0,161.3,4.2,Mailed check,1,07/06/2024,1,3,1,4.2,18.0,1.1396741527234127,0.0,3978.922913329,0.0,0,0,0,0.016950219114430343,0.19988119988119987,2.3953073953073956
TC-000625,65.8977994,Male,15.193228005,Month-to-month,69.62,5935.03,No,Yes,4.17,1,342.8,3.7,Bank transfer,3,21/05/2024,0,1,0,6.4,125.0,4.582304693715416,0.06581879766899476,1057.7525337081001,3.7,0,0,1,0.011730353511271217,0.05989658144211433,4.923872450445274
TC-001630,54.79160513,Unknown,46.48026942,One year,45.46,2040.76,No,Yes,9.51,2,231.8,4.3,Mailed check,3,26/06/2024,1,4,0,17.3,33.0,0.978049408217049,0.04302901048029252,2112.9930478332,8.6,0,0,0,0.022276014818008977,0.2091948966124065,5.098988121425429
TC-000200,24.85544553,Female,34.46383283,Month-to-month,83.91,2873.26,No,Yes,1.0,3,213.7,7.7,Electronic check,4,15/05/2024,0,1,0,6.5,96.0,2.4347262944868455,0.08704777599166412,2891.8602127653,23.1,0,1,0,0.029203761580922017,0.011917530687641521,2.546776307948993
TC-003614,47.93729672,Male,18.33960616,Month-to-month,124.62,2587.57,DSL,No,2.79,1,9.8,7.7,Bank transfer,0,13/06/2024,1,6,1,5.6,167.0,6.795129563458413,0.054526797973506756,2285.4817196592,7.7,0,1,0,0.048161015933868456,0.022388059701492536,0.07863906275076232
TC-001989,32.37777607,Unknown,8.180070142,Month-to-month,57.89,361.55,DSL,Yes,16.46,1,110.2,5.2,Electronic check,5,19/06/2024,1,8,0,0.1,86.0,7.076956431310758,0.12224834049595366,473.54426052038,5.2,0,0,0,0.1601161665053243,0.28433235446536537,1.9036102953878045
TC-002345,18.0,Female,25.01657929,Month-to-month,49.33,1143.92,Fiber optic,No,2.78,0,251.1,6.4,Electronic check,0,25/06/2024,0,3,0,1.7,5.0,1.9718922970303507,0.0,1234.0678563756999,0.0,0,0,0,0.043123645010140564,0.05635515913237381,5.09020879789175
TC-003264,59.59135268,Male,63.92525552,Month-to-month,75.08,4814.02,No,Yes,8.26,1,246.0,7.5,Bank transfer,1,27/06/2024,0,0,0,0.4,262.0,1.1744966741120035,0.01564326950069264,4799.5081844416,7.5,0,0,0,0.015596113019887742,0.11001598295151838,3.2765050612679807
TC-001906,48.71575389,Male,26.00498585,One year,45.86,1130.99,No,Yes,24.81,0,343.1,4.9,Electronic check,1,30/04/2024,0,0,0,2.4,5.0,1.7635079774519469,0.0,1192.588651081,0.0,0,0,0,0.040548545964155296,0.540994330571304,7.481465329262975
TC-000766,31.45235362,Female,1.0,Month-to-month,52.23,28.02,No,Yes,4.2,4,337.1,3.5,Mailed check,2,14/06/2024,1,3,1,1.7,21.0,52.23,4.0,52.23,14.0,1,0,1,1.8640256959314774,0.08041355542791499,6.454145127321463
TC-000804,35.06587067,Female,10.59844905,Month-to-month,80.95,802.82,DSL,Yes,37.91,0,230.4,7.0,Electronic check,4,20/05/2024,0,1,0,1.3,6.0,7.6379100015582,0.0,857.9444505975,0.0,0,0,0,0.10083206696395207,0.46831377393452744,2.846201358863496
TC-001502,33.73221426,Male,2.960885326,One year,112.26,259.9,Fiber optic,No,3.36,2,437.2,4.3,Credit card,4,12/06/2024,0,0,0,0.3,159.0,37.914335625978914,0.6754736437908234,332.38898669676,8.6,1,1,0,0.4319353597537515,0.02993051843933725,3.8945305540709065
TC-001771,42.6540367,Male,10.78517842,Month-to-month,27.99,380.64,No,No,0.26,1,406.7,6.8,Bank transfer,5,10/06/2024,0,1,0,11.6,311.0,2.595228276251363,0.0927198383798272,301.8771439758,6.8,0,0,0,0.07353404791929381,0.009289031797070383,14.530189353340479
TC-000107,70.29278852,Female,22.75553372,One year,105.5,2490.47,Fiber optic,Yes,6.08,2,345.6,6.4,Electronic check,2,13/05/2024,0,0,0,3.9,285.0,4.636234917543389,0.08789070933731542,2400.70880746,12.8,0,1,0,0.04236148196926685,0.0576303317535545,3.275829383886256
TC-002965,60.34624601,Female,48.96370651,Two year,59.27,2844.7,Fiber optic,Yes,51.21,1,309.8,3.9,Credit card,3,30/03/2024,1,4,1,20.0,31.0,1.210488425501348,0.020423290458939564,2902.0788848477005,3.9,0,0,1,0.020835237459134532,0.8640121477982116,5.226927619368989
TC-000839,56.76483598,Female,5.096611075,Month-to-month,56.25,411.86,Fiber optic,No,2.49,2,175.7,7.1,Bank transfer,0,11/05/2024,1,5,1,25.1,16.0,11.036745628074042,0.3924176223315215,286.68437296875004,14.2,1,0,0,0.13657553537609868,0.04426666666666667,3.1235555555555554
TC-003972,25.46595389,Male,8.534594224,Two year,54.81,388.05,DSL,No,22.84,1,313.9,1.3,Bank transfer,5,05/06/2024,1,9,0,1.2,32.0,6.42209794179431,0.11717018685995821,467.78110941743995,1.3,0,0,1,0.14124468496327794,0.4167122787812443,5.72705710636745
TC-000706,51.09014927,Male,43.27606904,Month-to-month,62.29,2590.24,No,Yes,0.56,1,104.8,7.2,Electronic check,1,22/06/2024,0,4,0,5.0,98.0,1.4393636340312113,0.023107459207436367,2695.6663405016,7.2,0,0,0,0.024047964667366733,0.00899020709584203,1.6824530422218655
TC-004151,41.09394406,Male,23.27275581,Month-to-month,48.59,1210.35,DSL,Yes,2.49,3,404.2,4.6,Electronic check,4,09/05/2024,0,5,0,3.2,116.0,2.0878490023567178,0.12890609193394018,1130.8232048079,13.799999999999999,0,0,0,0.04014541248399224,0.0512451121629965,8.31858407079646
TC-003180,49.73442133,Male,6.402791394,One year,51.99,419.84,DSL,No,37.34,3,574.6,6.0,Bank transfer,5,26/06/2024,0,0,0,1.4,272.0,8.11989596423825,0.4685456413293854,332.88112457406004,18.0,0,0,0,0.1238328887195122,0.7182150413541066,11.052125408732449
TC-004777,41.63650749,Female,14.90390098,Month-to-month,68.98,1132.13,Fiber optic,Yes,3.08,1,289.8,8.1,Credit card,1,08/05/2024,0,4,0,1.7,219.0,4.628318457869948,0.06709652736836688,1028.0710896004,8.1,0,0,0,0.06092939856730234,0.044650623369092486,4.201217744273703
TC-000229,31.27044436,Female,8.904594193,Month-to-month,72.2,657.44,Fiber optic,No,17.1,3,297.1,7.5,Mailed check,3,08/05/2024,1,3,1,3.3,116.0,8.108174099248366,0.3369047409659986,642.9117007346,22.5,0,0,0,0.10981990752007788,0.2368421052631579,4.1149584487534625
TC-003337,21.51263767,Male,20.07472989,Month-to-month,84.76,1814.63,Fiber optic,No,83.94,3,189.9,8.2,Credit card,5,29/06/2024,1,2,0,23.8,6.0,4.222223684425375,0.1494416122378023,1701.5341054764,24.599999999999998,0,1,0,0.04670924651306327,0.9903256252949504,2.2404436054742805
TC-002269,34.43730253,Female,33.28119455,One year,50.24,1617.95,DSL,Yes,10.38,1,245.4,7.0,Bank transfer,5,16/05/2024,0,1,0,4.3,116.0,1.5095612005308865,0.03004699841821032,1672.0472141920002,7.0,0,0,0,0.031051639420254025,0.20660828025477707,4.884554140127388
TC-003853,61.44094593,Female,3.034408426,Month-to-month,104.82,463.05,DSL,No,20.08,3,280.8,7.2,Credit card,5,19/05/2024,1,2,0,14.8,158.0,34.54380072961213,0.9886605818435069,318.06669121332,21.6,1,1,0,0.2263686426951733,0.19156649494371303,2.6788780767029197
TC-000502,70.64124961,Male,19.12928923,Month-to-month,95.57,1925.94,Fiber optic,No,0.14,0,271.6,5.9,Bank transfer,0,22/09/2024,1,4,0,9.5,44.0,4.996003711947639,0.0,1828.1861717111,0.0,0,1,0,0.04962252198926238,0.0014648948414774513,2.8418959924662555
TC-003129,43.09020786,Male,1.0,One year,82.12,196.95,Fiber optic,Yes,18.45,2,220.6,4.6,Credit card,2,15/06/2024,0,3,0,2.7,26.0,82.12,2.0,82.12,9.2,1,0,0,0.416958618938817,0.22467121285923036,2.6863127131027764
TC-003353,48.42475039,Female,15.14607246,Two year,83.98,1090.3,DSL,Yes,13.49,0,453.5,8.3,Credit card,4,30/06/2024,0,2,0,5.0,365.0,5.5446717438984185,0.0,1271.9671651908,0.0,0,1,0,0.07702467210859397,0.1606334841628959,5.400095260776375
TC-004175,39.36932316,Male,1.0,Month-to-month,84.33,236.85,No,Yes,31.57,1,505.3,6.7,Credit card,4,30/05/2024,1,3,0,6.0,158.0,84.33,1.0,84.33,6.7,1,1,0,0.3560481317289424,0.3743626230285782,5.991936440175501
TC-001635,36.97837002,Female,7.825323721,Month-to-month,55.99,436.3,Fiber optic,Yes,36.67,1,171.0,4.9,Bank transfer,3,12/06/2024,0,2,0,3.6,79.0,7.154975563470367,0.12779024046205334,438.13987513879005,4.9,0,0,0,0.12832913133165252,0.6549383818539025,3.054116806572602
TC-001481,52.83572037,Male,18.03348844,One year,20.2,279.79,Fiber optic,No,45.02,2,276.1,5.7,Credit card,4,21/04/2024,0,1,0,1.2,228.0,1.1201382398756787,0.11090477622531474,364.276466488,11.4,0,0,0,0.07219700489652953,2.228712871287129,13.66831683168317
TC-002116,34.3017965,Female,10.41704693,One year,24.98,438.85,Fiber optic,No,34.27,3,366.8,8.9,Electronic check,4,25/06/2024,0,2,0,0.4,227.0,2.3979924606137875,0.287989486863145,260.2178323114,26.700000000000003,0,0,0,0.056921499373362196,1.3718975180144117,14.683746997598078
TC-004000,47.40971837,Female,30.34181505,One year,92.67,3014.48,Fiber optic,Yes,18.51,3,263.4,8.1,Credit card,2,24/04/2024,0,4,0,3.9,23.0,3.0542009384504505,0.09887345219975559,2811.7760006835,24.299999999999997,0,1,0,0.03074162044531727,0.1997410165101975,2.8423438005827126
TC-000562,73.13101198,Female,1.339114564,Two year,62.12,47.61,DSL,Yes,23.88,0,427.0,3.9,Credit card,1,21/03/2024,1,2,0,26.4,24.0,46.38886146861442,0.0,83.18579671568,0.0,1,0,1,1.3047679059021213,0.3844172569220863,6.873792659368964
TC-004199,18.0,Male,18.62737466,Month-to-month,25.68,402.16,Fiber optic,Yes,1.76,1,166.9,2.1,Bank transfer,3,27/04/2024,1,2,0,3.3,20.0,1.3786161747819807,0.053684430482164355,478.3509812688,2.1,0,0,1,0.06385518201710762,0.06853582554517135,6.499221183800623
TC-003698,46.98911265,Male,10.60906665,Two year,34.21,427.79,Fiber optic,Yes,5.4,3,156.9,3.6,Bank transfer,3,01/06/2024,0,1,0,0.5,185.0,3.2246003469117612,0.28277699622143476,362.93617009650006,10.8,0,0,1,0.07996914373875032,0.15784858228588133,4.586378251973107
TC-002787,30.45005901,Male,48.48075148,One year,57.37,2784.99,Fiber optic,Yes,44.94,2,118.9,6.8,Credit card,2,26/02/2024,0,0,0,12.8,31.0,1.18335624446059,0.04125348594947151,2781.3407124076,13.6,0,0,0,0.020599714900233036,0.7833362384521527,2.0725117657312184
TC-000280,36.22029605,Male,21.68148071,One year,71.98,1461.5,No,Yes,25.51,3,337.4,6.0,Electronic check,1,18/03/2024,0,5,0,4.9,221.0,3.319883958239124,0.1383669335192744,1560.6329815058,18.0,0,0,0,0.049250769757098876,0.35440400111141984,4.687413170325089
TC-002267,18.0,Female,2.658904414,Two year,63.3,167.16,Fiber optic,Yes,15.0,1,497.9,5.8,Credit card,4,29/06/2024,0,0,0,1.0,78.0,23.806797892660157,0.3760947534385491,168.3086494062,5.8,1,0,0,0.3786791098348887,0.23696682464454977,7.865718799368088
TC-000158,49.10749381,Male,5.01899938,Two year,48.37,309.78,No,Yes,33.74,5,324.3,6.0,Mailed check,5,24/06/2024,0,2,0,4.0,76.0,9.637379154248869,0.996214508398684,242.7690000106,30.0,1,0,0,0.15614306927496935,0.6975397973950797,6.7045689476948525
TC-000539,57.09439214,Male,33.56075565,Month-to-month,79.82,2728.16,DSL,No,15.26,1,189.2,6.5,Electronic check,5,05/05/2024,0,0,0,0.4,365.0,2.378373146076644,0.02979670691652022,2678.8195159829997,6.5,0,0,0,0.029257814790921353,0.19118015534953647,2.3703332498120773
TC-004115,66.44463197,Female,1.882753837,Two year,15.0,13.73,No,Yes,4.56,0,327.2,5.4,Credit card,4,30/06/2024,0,1,0,3.2,88.0,7.967053209622538,0.0,28.241307555000002,0.0,1,0,0,1.0924981791697013,0.304,21.813333333333333
TC-004458,22.00307468,Male,6.720288181,Month-to-month,71.34,597.56,DSL,Yes,19.76,3,450.7,6.5,Bank transfer,5,27/06/2024,0,2,0,0.2,18.0,10.61561618766539,0.44640942757213586,479.42535883254004,19.5,0,0,0,0.11938550103755273,0.2769834594897673,6.317633865993832
TC-001651,50.6944976,Male,13.78726965,Month-to-month,87.43,1158.12,Fiber optic,Yes,10.42,1,375.8,3.1,Credit card,1,23/04/2024,1,1,0,0.8,1.0,6.341357079354722,0.07253067687698413,1205.4209854995001,3.1,0,1,1,0.07549304044485892,0.1191810591330207,4.2982957794807275
TC-003151,54.62975543,Male,26.33293818,One year,83.16,2145.7,No,Yes,1.03,2,392.2,6.8,Credit card,1,16/05/2024,0,2,0,11.5,49.0,3.1580220722638708,0.07595050678845289,2189.8471390488,13.6,0,1,0,0.03875658293330848,0.012385762385762387,4.7162097162097165
TC-000765,59.23909989,Female,4.539550516,Month-to-month,71.57,378.56,DSL,Yes,14.38,2,299.25,7.9,Electronic check,0,26/05/2024,0,2,0,0.4,365.0,15.76587808589109,0.4405722533433308,324.89563043012,15.8,1,0,0,0.1890585376162299,0.20092217409529137,4.181221182059523
TC-001865,61.56510364,Male,17.67968612,Month-to-month,49.8,1060.35,No,Yes,26.69,0,212.6,7.6,Bank transfer,3,29/06/2024,1,2,1,11.4,41.0,2.816792089066794,0.0,880.4483687759999,0.0,0,0,0,0.046965624557928985,0.5359437751004017,4.269076305220883
TC-003486,34.27172409,Female,69.58952171,Month-to-month,79.42,5658.54,No,No,1.02,1,189.7,3.6,Credit card,1,20/06/2024,1,6,1,8.8,62.0,1.1412637714477547,0.014369979494431561,5526.7998142082,3.6,0,0,1,0.014035422564831212,0.012843112566104256,2.388567111558801
TC-000732,27.32440834,Male,33.38575004,Month-to-month,42.68,1327.53,Fiber optic,Yes,1.06,1,221.6,5.5,Credit card,5,29/06/2024,1,6,0,0.3,46.0,1.278389730614541,0.029952899030331326,1424.9038117071998,5.5,0,0,0,0.03214993258156124,0.02483598875351453,5.192127460168697
TC-000085,29.87259596,Male,58.31918251,Month-to-month,99.13,6008.87,No,No,4.67,4,457.4,6.3,Electronic check,4,01/06/2024,0,0,0,1.0,38.0,1.6997837715403874,0.06858806704490618,5781.180562216299,25.2,0,1,0,0.016497278190408513,0.04710985574498134,4.6141430444870375
TC-002581,47.58158209,Female,3.739507669,Month-to-month,106.71,641.06,DSL,Yes,5.83,3,299.25,7.7,Electronic check,1,20/06/2024,1,6,1,13.4,100.0,28.53584199990044,0.8022446443604285,399.04286335898996,23.1,1,1,0,0.16645867781486912,0.05463405491519071,2.8043294911442227
TC-003208,54.45287718,Female,45.0660311,Two year,94.04,4286.37,Fiber optic,Yes,0.91,1,144.8,5.7,Mailed check,5,01/06/2024,0,2,0,1.2,28.0,2.0867158190906236,0.022189662049028322,4238.0095646439995,5.7,0,1,0,0.021939309952243975,0.009676733304976605,1.5397703105061675
